KO,ENG,JPN
부용공원,Buyong Park,芙蓉公園
북새말공원,Buksaemal Park,北セマル公園
비둘기근린공원,Pigeon Neighborhood Park,ハト近隣公園
비룡성당,Biryong Cathedral,飛龍聖堂
비발디공원,Vivaldi Park,ビバルディ公園
빛나래공원,Bitna Rae Park,ビッナレ公園
사기막골근린공원,Sagimakgol Neighborhood Park,サギマクゴル近隣公園
사도들의모후수도회,the Apostles' Mother's Order,使徒たちの母后修道会
사동공원,Sadong Park,沙洞公園
사우공원,Sau Park,サウ公園
사우마을숲공원,Sau Village Forest Park,サウマウル森公園
산내공원,Sannae Park,山内公園
산마루공원,Sanmaru Park,サンマル公園
산바람공원,Sanbaram Park,山風公園
산새들공원,Mountain Bird Park,サンセドゥル公園
산성동조각공원,Sanseong Dong Sculpture Park,山城洞彫刻公園
산수유공원,Sansuyu Park,サンシュユ公園
산울림공원,Sanwoolim Park,サンウルリム公園
산이슬공원,Sanseul Park,サンイスル公園
살구골공원,Apricot Valley Park,アンズゴル公園
살구꽃공원,Apricot Flower Park,あんず花公園
살구나무공원,Apricot Tree Park,あんずの木公園
살박근린공원,Salbak Neighborhood Park,サルバク近隣公園
삼봉근린공원,Sambong Neighborhood Park,三峰近隣公園
삼성경로당공원,Samsung Senior Citizens Hall Park,三成敬老堂公園
삼정동성당,Samjeong-dong Cathedral,三井洞聖堂
삼포공원,Sampo Park,三浦公園
삼호공원,Samho Park,三湖公園
삼환공원,Samhwan Park,三環公園
상갈리소공원,Sangalliso Park,サンガリソ公園
상록근린공원,Evergreen Neighborhood Park,常緑近隣公園
상봉암동 쌈지공원,Sangbongam-dong Ssamji Park,上鳳岩洞サムジ公園
상신성당,Sangsin Cathedral,上神聖堂
상자포리문화소통공원,Boxpo-ri Cultural Communication Park,サンジャポリ文化疎通公園
상하공원,Sangha Park,上下公園
상현공원,Sanghyeon Park,サンヒョン公園
상현레스피아,Sanghyun Respia,サンヒョンレスピア
상현소공원,Sanghyeon Small Park,上弦小公園
새꽃공원,Bird Flower Park,鳥の花公園
새물공원,Bird Water Park,セムル公園
새암공원,Saeam Park,セアム公園
새터근린공원,Saeteo Neighborhood Park,セト近隣公園
새한공원,Saehan Park,セハン公園
새희망공원,New Hope Park,セヒマン公園
샘물공원,Spring Water Park,泉水公園
샘재공원,Samjae Park,セムジェ公園
샛말공원,Saemal Park,セッマル公園
샛별공원,New Star Park,セッピョル公園
샛터공원,Saeteo Park,サット公園
생매공원,Saengmae Park,センメ公園
생연근린공원,Saengyeon Neighborhood Park,生淵近隣公園
생태습지공원,Ecological Wetland Park,生態湿地公園
서삼릉공원,West Samneung Park,西三陵公園
서오릉공원,Seo Oreung Park,西五陵公園
서정나루공원,Seojeongnaru Park,ソジョンナル公園
서정문화공원,Seojeong Cultural Park,ソジョン文化公園
서천레스피아,Western Respia,舒川レスピア
서해공원,West Sea Park,西海公園
석교공원,Seokgyo Park,石橋公園
석수골공원,Seoksugol Park,ソクスゴル公園
석수공원,Seoksu Park,石水公園
석수삼막소공원,Seoksu Sammak Small Park,石水三幕小公園
석수초교공원,Seoksu Elementary School Park,石水小学校公園
석우리천공원,Seokwicheon Park,石隅川公園
선돌근린공원,Seondol Neighborhood Park,ソンドル近隣公園
선승공원,Seonseung Park,禅僧公園
선주리들근린공원,Seonjurideul Neighborhood Park,仙州里ドゥル近隣公園
설봉국제조각공원,Seolbong International Sculpture Park,雪峯国際彫刻公園
설촌공원,Seolchon Park,雪村公園
섬말소공원,Summalso Park,島末沼公園
성남동나들이어린이공원,Seongnam Dong Nadeul Children's,城南洞おでかけ子供公園
성동공원,Seongdong Park,ソンドン公園
성라공원,Seongla Park,ソンラ公園
성라근린공원,Seongra Neighborhood Park,ソンラ近隣公園
성저공원,Seongjeo Park,城底公園
세우리교,Seuryoism,セウリ橋
소나무공원,Pine Tree Park,松の公園
소담공원,Sodam Park,ソダム公園
소리내음공원,Sound Sound Park,音の香り公園
소목개마을공원,Somokgae Village Park,ソモクゲマウル公園
소사벌성당,Sosabal Cathedral,焼死伐聖堂
소사본동성당,Sosabondong Cathedral,素砂本洞聖堂
소실봉공원,Gasangbong Park,焼失峰公園
소하공원,Soha Park,小河公園
손바닥 소공원,Palm Small Park,手のひら小公園
손바닥공원,Palm Park,手のひら公園
손바닥공원놀이터,Palm Park Playground,手のひら公園遊び場
솔내공원,Solnae Park,ソルネ公園
솔내음공원,Solnaeum Park,松の香り公園
솔대공원,Soldae Park,ソルデ公園
솔모루공원,Solmoru Park,ソルモル公園
솔바람공원,Solbaram Park,松風公園
솔밭산공원,Solbatsan Park,松畑山公園
솔빛공원,Solbit Park,松の光公園
